BAROMETRIC_PRESSURE,ENGINE_COOLANT_TEMP,ENGINE_RPM,INTAKE_MANIFOLD_PRESSURE,MAF,SPEED,THROTTLE_POS,class
100,83,2025,52,24.2,42,0.345,0
95.31529968,100.5454988,4566.037122,24.61350957,66.99587665,52.09653163,0.894039735,1
101,82,928,20,9.01,13,0.282,0
95.70964888,103.2747367,5481.671125,31.99515803,63.52084947,63.63341287,0.766889854,1
99,84,1372,63,11.23,40,0.282,0
97.71404549,101.4328055,4937.058835,55.57811974,57.85211979,68.78523377,0.795416037,1
97.41428497,101.7411329,3608.709802,62.43746759,56.34948082,23.35400003,0.695631553,1
99,92,1409,52,9.66,23,0.275,0
99,83,1952,60,20.78,44,0.333,0
101,85,1931,20,15.78,42,0.318,0
95.12444275,102.7704468,4064.663564,40.18382546,51.93929026,45.73440416,0.74713558,1
100,89,783,33,4.19,25,0.204,0
100,84,1562,50,18.73,59,0.31,0
95.77479505,100.4127377,3885.202773,55.5640801,64.76697927,14.49904649,0.822682658,1
101,83,1813,58,23.43,55,0.337,0
100,83,1806,64,29.89,57,0.384,0
99,83,1539,21,11.08,47,0.294,0
101,99,803,34,4.37,0,0.208,0
95.07116247,108.2053404,3558.87398,47.58785137,67.45133032,67.36256534,0.901119514,1
100,83,2480,44,6.76,54,0.251,0
100,91,1738,98,31.18,55,0.651,0
97.21585207,107.122592,3513.946566,35.54044085,53.48974566,62.58431859,0.632986539,1
96.77055302,108.5107128,3882.160331,42.49833343,68.62211481,68.34583252,0.632458505,1
97.30424835,104.028644,5006.974628,48.03768468,54.34095178,13.08133515,0.626223031,1
100,84,784,70,4.27,25,0.208,0
95.72834955,105.3835626,4397.971536,69.13952776,52.77018372,45.79121736,0.893803884,1
100,83,2309,29,16.55,48,0.318,0
96.72181051,105.3869307,5341.194036,32.37298882,64.11951005,29.42882391,0.679605475,1
97.50092613,109.8021514,3872.850307,23.819393,56.52932936,47.02950771,0.683834458,1
96.22025849,109.9338725,5465.740425,49.264971,65.78412008,55.85905707,0.61410131,1
100,92,800,38,5.44,0,0.231,0
101,90,905,35,4.4,38,0.208,0
101,81,2133,21,6.33,54,0.247,0
100,83,2122,18,6.16,52,0.243,0
100,92,806,34,4.39,0,0.208,0
99,85,2714,65,7.57,44,0.255,0
99,83,2183,39,16.65,51,0.322,0
97.76934229,103.0358183,5182.764337,36.46704538,68.98564294,20.57916429,0.879026267,1
97.38805283,105.9889808,4425.957359,65.04827691,52.07551478,40.67886707,0.885457084,1
97.20649138,103.7394965,3602.742747,65.87412371,68.31885822,58.59078695,0.930053955,1
99,84,2585,19,7.37,57,0.263,0
100,86,1852,70,16.83,56,0.322,0
100,84,785,32,4.44,0,0.208,0
97.98746335,109.7970162,4610.693243,60.33211674,64.68231687,65.3688617,0.746226199,1
100,83,864,35,4.87,3,0.216,0
100,95,1550,53,13.75,36,0.31,0
96.22921056,104.6332638,4585.454069,30.30384775,51.71805787,68.00444931,0.826189781,1
97.25250419,100.3108908,5031.689889,36.34529341,53.27587279,44.71582365,0.675986938,1
97.77377349,108.4126887,4880.107378,61.67798728,52.28008783,61.61598223,0.680998904,1
100,82,1658,43,3.63,15,0.208,0
100,96,2476,20,19.27,34,0.329,0
99,81,2125,66,22.68,67,0.345,0
101,89,785,33,4.27,24,0.204,0
95.86864346,100.3525555,4713.690064,58.33608097,69.30482857,17.29691713,0.656883343,1
101,88,1312,31,3.67,17,0.196,0
99,83,2642,54,23.3,57,0.341,0
100,82,1835,36,4.78,42,0.227,0
100,85,2140,49,9.37,47,0.263,0
99,82,1367,31,3.23,28,0.204,0
100,85,801,42,5,0,0.227,0
95.60454188,107.9115731,4669.712383,66.662155,68.82360415,55.68751952,0.609823222,1
100,82,1650,55,23.76,52,0.322,0
100,97,792,31,4.36,25,0.204,0
95.40982898,108.3302383,4947.567551,20.23768081,50.25886648,50.5860871,0.849914643,1
95.24860024,106.0712795,4793.88469,21.98574836,59.96976065,31.34278805,0.627983533,1
97.02027728,104.2330894,4224.962362,53.6789188,54.43469166,58.80842166,0.710722383,1
95.26521755,103.1799689,4450.715114,61.02082797,61.49524036,35.45965341,0.690064179,1
99,84,777,31,4.16,0,0.204,0
96.33152881,107.0699826,5269.780522,35.56742481,59.59893528,11.3943635,0.747463013,1
97.2206001,104.8724652,4033.016368,69.13387653,57.5861674,68.32513391,0.809297053,1
95.26398919,102.4742572,4719.382409,45.38447596,50.1051081,49.1333769,0.904297447,1
100,92,802,36,4.3,0,0.204,0
100,83,1663,20,7.35,31,0.227,0
100,82,1058,85,13.52,28,0.518,0
95.52619137,100.3477217,5471.459648,53.28144098,54.54308805,50.85985235,0.718030624,1
100,83,2117,47,20.26,44,0.329,0
95.14447425,103.7569587,4838.214088,63.32159331,65.32683597,35.110585,0.90665442,1
97.9753563,107.2708858,3583.172172,69.40375829,67.31916991,19.16166611,0.827499291,1
96.15264119,106.3582844,4802.374302,25.36008646,51.69005637,68.16806857,0.666163223,1
101,88,1365,19,8.36,28,0.271,0
97.49876559,109.6719544,4957.814363,65.30324529,55.35607876,12.8708096,0.688857855,1
100,83,776,32,4.63,0,0.22,0
97.65550448,105.6177861,5402.877232,54.26005875,50.32226606,51.45904164,0.617539752,1
100,89,1528,25,3.75,20,0.216,0
100,82,788,33,4.61,4,0.212,0
100,84,756,33,4.58,0,0.208,0
95.49386882,105.4189832,5412.289084,24.67472986,54.29925576,28.81101776,0.817329515,1
99,94,798,33,4.42,0,0.208,0
95.59010541,106.6142795,3881.639153,49.47967352,56.99066257,66.05690579,0.857247406,1
99,86,1632,33,3.38,51,0.208,0
97.35146932,103.1825048,3590.270262,62.00930802,54.56440913,48.7281019,0.653779125,1
95.04131553,106.0756964,5377.201258,44.74853914,66.2369982,10.53213353,0.754665546,1
95.84834272,107.5492735,4362.74559,31.86127176,50.8071446,22.26988279,0.852208055,1
97.39310836,107.6299407,5176.687992,67.52167124,69.82506057,51.75545341,0.875909552,1
101,89,798,34,4.05,22,0.2,0
95.94603023,106.2154471,4450.358271,24.05849256,51.89189587,39.22008128,0.645909395,1
100,86,805,36,4.79,0,0.22,0
100,84,1879,18,18.62,67,0.31,0
101,85,1599,30,3.96,41,0.204,0
95.91768934,101.1024437,4816.599189,69.66664886,67.91671364,29.31171419,0.648589278,1
100,83,2079,31,9.23,41,0.259,0
100,83,2529,21,11.13,37,0.329,0
100,100,801,37,4.65,0,0.212,0
95.56387886,100.1545396,5377.99939,64.83646399,52.33089485,24.95838995,0.733643047,1
100,83,1765,35,10.44,63,0.271,0
100,84,801,43,5.41,0,0.231,0
96.71989185,102.2313179,3725.751061,31.23958621,57.79632448,63.5708233,0.760278485,1
95.44224574,109.9312397,4392.451333,57.25705372,64.0378402,11.02953873,0.627713825,1
101,89,1895,31,6.55,52,0.247,0
97.7528591,103.2401962,4233.860091,56.29837356,63.02364167,43.30597879,0.780377533,1
99,83,1792,23,6,18,0.227,0
101,88,867,34,3.71,19,0.196,0
96.55962535,107.789128,4428.216239,58.63033898,66.50436085,53.62660683,0.663230588,1
99,83,2263,42,6.92,48,0.247,0
95.98118203,108.3124856,5030.477939,27.04111104,52.74567863,18.36404191,0.908272934,1
95.18804842,104.0264649,4679.943074,59.54208727,68.02289107,47.61894939,0.771576342,1
96.79439765,103.3260603,3766.890905,37.20578785,59.41308503,67.72645891,0.739677268,1
95.79092483,106.8713937,4648.978639,22.08515906,64.74759526,63.92466761,0.776369963,1
101,74,1376,51,15.72,52,0.318,0
101,83,1018,64,8.44,21,0.29,0
100,91,776,45,4.57,3,0.212,0
100,85,2433,65,6.66,45,0.298,0
101,93,809,33,4.3,0,0.204,0
101,83,1765,51,17.12,55,0.322,0
95.97349809,107.6804276,4833.934546,32.14827408,65.73298577,60.52195675,0.768368031,1
97.86315994,101.8639374,4712.488662,37.18071065,69.68041755,65.74834195,0.676989826,1
95.49658815,108.9013099,4700.100235,53.25642322,59.61467482,27.2325789,0.879550767,1
95.63023446,102.32754,3561.500391,66.10427647,53.74917397,14.81634619,0.866598851,1
100,86,2372,66,24.73,43,0.349,0
96.33103498,100.855108,5417.483294,63.00752118,53.03786488,55.52083612,0.647619145,1
95.18526447,100.0799559,3661.484871,65.41437161,61.5941673,15.23902841,0.932781309,1
99,84,787,33,3.95,0,0.204,0
100,83,1725,50,15.85,60,0.318,0
100,84,1982,19,7.73,38,0.278,0
97.40864996,106.5776491,5493.53989,35.15006703,68.34816733,66.56978989,0.709631225,1
97.221766,105.8831318,3728.268414,47.11705107,62.66400485,51.72032358,0.864423695,1
100,94,2282,49,9.62,48,0.329,0
95.92319264,106.7402131,4660.487533,51.07120648,66.30910802,31.35737218,0.921022803,1
97.66147164,103.9702966,4031.595036,29.78867711,57.11644585,41.12561436,0.840200974,1
97.62472256,104.0215661,5221.875868,38.90024322,53.0389834,47.06475584,0.842452743,1
100,94,1987,46,24.16,43,0.353,0
100,97,810,31,3.52,16,0.196,0
97.58251025,103.1150681,5061.850035,23.21330122,50.67056602,28.63251699,0.71213659,1
96.08461296,100.1725115,5327.000435,46.5207896,61.41820701,25.52225446,0.745757621,1
96.81849592,105.3731733,4501.239885,31.24308122,50.61784769,57.43732131,0.639193921,1
100,94,915,39,4.82,2,0.208,0
100,93,1455,20,3.72,46,0.212,0
96.56849007,100.2948315,4004.537024,34.89673887,63.11176374,58.79301158,0.7025919,1
96.81207175,107.0825012,5387.851293,26.23172317,57.75987515,47.3780926,0.69256817,1
101,83,1303,21,4.52,41,0.204,0
95.37108141,108.3443048,5463.162057,56.42298916,55.27507093,52.58957925,0.846133186,1
97.09377226,103.7019602,3625.525628,57.18475296,62.96468624,28.29474926,0.750190202,1
97.40612236,102.9598677,3530.420099,29.11690917,60.67505826,65.84627723,0.775418197,1
99,83,1931,33,6.32,41,0.263,0
100,84,2940,68,8.34,38,0.259,0
100,83,1133,22,3.68,20,0.192,0
96.9030284,103.3027483,4679.092887,32.80098149,63.75256977,47.75610801,0.864459044,1
101,96,2318,32,7.4,20,0.259,0
96.80905397,100.8123906,3803.085838,62.1348476,50.52693309,68.37668705,0.669139025,1
99,86,1793,58,16.67,56,0.318,0
100,82,1013,30,2.82,12,0.176,0
101,85,794,34,4.16,17,0.204,0
100,83,834,33,4.4,0,0.204,0
100,83,1596,39,10.54,58,0.29,0
98,97,1600,48,4.14,48,0.216,0
100,84,2196,22,6.35,55,0.247,0
100,84,1005,62,9.58,22,0.282,0
98,85,2164,46,16.16,45,0.322,0
100,83,1607,72,22.01,38,0.345,0
97.05377765,108.2543969,3687.025858,27.29510222,55.34718836,37.70251252,0.71619881,1
100,85,1980,36,5.8,60,0.239,0
101,64,962,60,12.08,15,0.306,0
100,84,784,34,4.61,0,0.212,0
97.06486471,100.1061515,4604.786068,55.24768541,68.7634763,21.31232017,0.872759159,1
100,84,2055,51,18.59,12,0.329,0
100,93,920,55,9.27,12,0.29,0
100,84,1913,52,16.44,60,0.333,0
96.40934472,105.7592195,5145.780356,68.83164975,55.70458909,39.64511518,0.693308878,1
95.50082348,103.760206,4105.826502,51.93471554,67.19553233,51.21303274,0.646002106,1
100,84,2054,73,31.64,47,0.38,0
100,88,1758,37,11.08,67,0.294,0
99,83,2043,35,6.19,35,0.235,0
100,92,801,34,4.42,0,0.212,0
95.75587973,109.9136356,4324.895968,36.63186994,61.40409945,13.0355724,0.642826888,1
96.55166162,102.6590515,4012.265573,59.95804239,66.2115842,27.3036747,0.735296604,1
100,95,1721,71,19.26,41,0.329,0
99,84,992,54,10.94,22,0.298,0
100,87,2311,57,6.71,36,0.247,0
99,86,817,30,3.91,4,0.2,0
100,90,1737,92,19.33,47,0.345,0
101,83,788,32,4.2,42,0.204,0
101,87,1543,47,18.35,35,0.329,0
97.6513206,104.2729164,4096.983949,27.38650655,60.21747265,68.07409334,0.752733655,1
100,84,787,35,4.92,0,0.224,0
97.70555245,109.055617,5133.373596,28.49378183,66.18131694,35.39697098,0.793383957,1
97.23414901,105.2781853,4317.908381,42.17941026,60.26372316,54.00896161,0.741433533,1
96.63232348,103.1419994,4435.799231,46.33172439,55.23262899,59.7315135,0.638630498,1
96.93386907,105.4503074,3831.043442,41.14389125,68.07019227,65.87892614,0.765739481,1
100,82,2990,73,10.17,39,0.278,0
100,83,1515,20,14.38,29,0.31,0
98,88,1960,47,14.52,59,0.31,0
100,96,1500,50,7.1,36,0.329,0
97.43205215,109.6230377,3772.614487,37.4007663,53.86188991,31.75887576,0.841621699,1
95.53330899,103.9288507,3762.95165,40.53170515,53.84001329,37.42359418,0.776659142,1
99,84,1664,52,18.48,29,0.329,0
97.97428447,104.891536,4837.343644,45.24144762,57.34134151,61.44463671,0.762068497,1
100,86,1578,100,23.03,43,0.353,0
100,84,805,36,4.86,0,0.216,0
95.17636063,100.0153443,4542.241406,44.98488257,57.37721872,25.25634934,0.724723488,1
100,84,934,38,3.96,9,0.2,0
96.80267574,109.0957075,3773.10573,24.2086719,56.99388892,25.61884165,0.623558068,1
96.55423002,101.649039,4241.965695,65.40514124,59.05664967,18.52256905,0.814736495,1
101,81,1082,59,11.06,27,0.298,0
101,83,798,39,4.69,0,0.208,0
96.03420665,100.4185163,3575.061959,32.88667338,56.76943443,14.12968201,0.694994869,1
96.86522778,103.6722021,5066.739075,21.77151436,62.90533915,12.39289536,0.675415429,1
100,95,1425,24,11.41,12,0.298,0
96.19934343,101.6542178,5247.081238,57.6694953,53.92286347,67.48032876,0.644306746,1
96.73436085,100.4270431,4690.940675,38.58182644,52.13744624,36.06078691,0.610459847,1
100,82,1574,28,4.72,46,0.251,0
99,82,827,32,3.68,5,0.196,0
95.28488319,101.7853106,4569.663949,52.24145856,67.56215753,20.88262769,0.6516164,1
100,82,1453,94,25.19,29,0.388,0
96.83778606,107.0963598,3600.199071,22.52944392,61.61162364,65.27980729,0.7041044,1
98,83,2249,20,31.18,37,0.369,0
95.71920097,101.7293964,3590.908486,67.5373968,63.74282103,44.59835294,0.750166952,1
96.18110864,107.9820806,4541.151548,34.72195356,64.19920908,11.87475653,0.651000938,1
100,82,1863,20,21.98,42,0.341,0
100,89,2363,35,25.68,41,0.29,0
97.74216749,102.3333997,4872.410992,50.88545363,54.04793622,32.52840066,0.814907938,1
95.30907657,101.6673095,4566.497234,39.03024458,58.14049038,58.75382013,0.634500526,1
96.36797605,104.7052404,5301.766585,50.3424918,59.81436666,15.70808688,0.787995946,1
98,82,1544,20,4.07,42,0.22,0
100,89,2563,25,9.56,51,0.282,0
96.34890372,107.8758322,4588.113136,25.72169393,64.68287647,18.05946886,0.680919135,1
97.40955507,101.6487721,4618.956697,29.65818006,56.71863029,23.54469447,0.790172863,1
95.47159436,105.5944254,4314.627938,52.87054549,55.4062813,57.37930353,0.794138508,1
101,89,1522,52,14.61,35,0.314,0
96.53348652,103.9182969,3899.816945,62.52387659,54.36094777,14.59171714,0.838009771,1
99,82,1636,18,6.39,47,0.247,0
97.36871138,100.8440416,4322.141428,54.9142692,68.1863917,66.69437405,0.646723531,1
100,83,1168,19,9.59,14,0.282,0
100,85,803,32,5.44,1,0.235,0
99,84,1567,20,3.79,30,0.208,0
101,82,1956,56,7.18,41,0.251,0
96.50549539,107.5775382,3583.537482,47.27037107,58.30549842,66.43478922,0.895881001,1
99,84,1381,42,6.99,50,0.255,0
100,83,791,36,4.28,0,0.208,0
96.22074671,109.3466238,4606.547268,32.60126372,53.5853134,17.51556742,0.731334974,1
95.41778533,105.6337519,4737.332863,57.48252682,54.73111383,51.28581628,0.781155066,1
96.86033367,104.620177,3942.265087,45.55776839,57.15183147,52.714298,0.728216361,1
100,88,1720,52,20.06,63,0.337,0
100,83,2107,19,13.06,63,0.306,0
100,86,2328,36,15.4,49,0.314,0
100,83,2106,47,16.3,73,0.318,0
100,82,1702,19,4.23,43,0.22,0
100,90,1886,98,11.32,44,0.298,0
97.7914875,101.1459985,4447.275586,50.73875759,57.90584712,13.81305693,0.800926264,1
100,82,1347,44,10.41,30,0.29,0
100,91,991,48,3.61,36,0.2,0
95.80453825,101.5874278,5333.382822,20.33617469,63.69757683,65.45556675,0.713604221,1
96.02372565,100.6405514,4348.868039,54.61439806,64.88217581,66.57251307,0.668122348,1
100,88,794,34,3.9,0,0.204,0
100,85,848,40,3.41,15,0.188,0
99,86,2088,34,8.91,41,0.278,0
99,83,2485,58,26.98,33,0.353,0
96.62167445,105.5233356,4539.659941,20.98196873,50.65490748,47.27837963,0.739139496,1
100,83,1515,29,3.98,18,0.216,0
101,83,821,35,4.11,8,0.204,0
101,89,2143,73,30.15,53,0.369,0
96.97796028,101.1196715,4662.121793,61.71106663,61.89967848,34.18135138,0.82748329,1
99,88,1756,18,9.82,50,0.282,0
97.48718687,101.9905307,3999.557547,25.37580104,51.85780552,23.53375541,0.721731912,1
95.6384114,105.2296746,5270.684422,54.42664602,64.13250232,38.78289853,0.751609598,1
100,84,2012,39,8.42,25,0.275,0
96.08427325,108.6879197,3952.072091,25.09831615,61.77165216,60.45489227,0.624124073,1
100,83,2043,64,30.06,45,0.373,0
96.19111176,103.8826395,5409.409414,26.88724149,54.81805057,55.94925193,0.850696774,1
100,84,1391,22,12.12,37,0.29,0
100,87,2171,46,17.4,47,0.325,0
99,83,1732,38,6.68,51,0.267,0
100,84,796,36,4.37,0,0.212,0
95.39040656,107.0997904,4096.468301,26.10455294,65.00902727,22.23975332,0.774838868,1
100,82,1697,50,12.95,51,0.333,0
97.62191111,100.2362698,4236.123781,31.61909167,64.04270437,62.77160918,0.825278753,1
100,84,801,34,4.48,0,0.204,0
95.02104155,107.9663631,3723.727791,32.89401765,50.28960429,18.13265505,0.740758238,1
100,92,1490,63,14.23,49,0.318,0
100,83,1110,46,3.41,59,0.176,0
95.86671519,104.102628,4126.524053,57.57830069,67.58200292,60.95529623,0.877375182,1
100,84,2219,20,6.1,62,0.243,0
97.89541881,105.9667123,4315.796457,67.65857,63.32894045,38.97320612,0.805169549,1
97.66247956,101.2384147,4295.95754,45.46892857,51.6744117,43.24190878,0.623028004,1
95.83770731,100.0091691,4939.363091,39.62573628,60.60705342,18.43419236,0.630499579,1
100,92,1868,63,4.03,42,0.322,0
95.25065217,104.6513434,4801.13683,43.01080898,55.12307067,24.71308748,0.731257968,1
100,83,1401,43,10.34,44,0.29,0
100,91,1945,22,5.6,49,0.239,0
96.84068149,108.8916226,4160.597054,35.77652612,50.13076719,22.67073661,0.66209868,1
99,83,1636,70,18.08,52,0.329,0
100,90,806,30,4.14,0,0.2,0
100,82,1735,19,11.37,29,0.294,0
100,83,2237,54,22.58,33,0.353,0
101,86,808,33,4.15,0,0.204,0
100,83,813,32,4.08,0,0.2,0
100,83,1862,40,14.24,57,0.31,0
101,83,2215,69,6.3,33,0.239,0
96.22510711,108.8574022,4486.524396,34.23225904,65.56520006,40.64496117,0.707098478,1
100,86,2271,69,6.44,51,0.243,0
96.279431,104.8945759,4561.402884,55.05866811,55.93444098,21.37509427,0.847586937,1
99,82,2388,36,6.74,47,0.255,0
100,89,1057,71,7.29,23,0.271,0
96.95198162,105.2331135,4047.655358,22.05372478,51.48346843,45.42614843,0.853849324,1
100,83,920,45,6.63,6,0.263,0
100,83,853,45,13.06,19,0.204,0
96.38662229,103.0288343,3711.033795,67.50072367,67.77909566,38.15171328,0.864115724,1
97.7486546,105.3357549,4671.117066,58.11546566,52.32422705,28.50247724,0.721333397,1
99,83,787,32,4.82,2,0.212,0
95.18378647,108.0197084,4255.949891,21.67279225,67.50482316,21.77516161,0.818789548,1
101,88,660,44,3.67,8,0.204,0
96.19245993,104.2016566,4408.603299,26.47626775,69.02222448,33.39360239,0.642087439,1
95.14513357,105.3028614,3572.519732,62.25279451,50.99554078,35.03980983,0.758722395,1
100,89,1816,40,4.97,54,0.224,0
95.15922842,101.7026259,4081.854756,37.41099356,55.47508139,64.32882409,0.674301541,1
97.23855182,107.6760038,5291.065338,22.8016904,69.58874168,68.01775522,0.888445102,1
95.61343853,106.978149,4967.719135,56.11539117,54.25506907,22.71530856,0.626805248,1
96.75012143,103.5533454,4402.206995,50.33089593,53.90861835,35.54150979,0.744422927,1
100,82,1683,38,4.48,43,0.224,0
100,83,793,32,4.5,3,0.208,0
95.99511981,108.4968161,3611.99015,30.54182454,58.36312391,31.44736112,0.887954797,1
99,86,1972,34,29.74,57,0.376,0
100,89,797,32,4.39,2,0.208,0
95.8479486,106.3049182,5091.156531,34.84990071,63.85123176,53.00463874,0.793218123,1
95.04891595,101.219913,4527.126683,23.9530091,54.60128206,24.40562879,0.616409764,1
100,82,1520,42,13.95,46,0.31,0
95.26243239,105.6692938,4630.563058,55.75941074,63.47632796,67.95669632,0.757214552,1
96.7156968,100.7113358,4341.381969,54.85403891,62.24788639,54.51216285,0.838418017,1
100,83,1222,33,3.22,51,0.184,0
96.91892793,102.5602445,3650.583976,36.43149266,60.32393354,13.07153422,0.723841358,1
100,92,784,30,3.8,18,0.204,0
100,92,1511,88,5.9,48,0.239,0
100,92,806,32,4.79,0,0.212,0
100,83,2176,26,11.65,46,0.294,0
95.41224789,106.5950968,4287.356211,27.16742323,67.95828298,67.93703496,0.748119297,1
95.91912641,109.1379429,3689.46208,40.35460432,68.10420588,60.07391751,0.88292006,1
97.98870884,108.7193957,5211.837775,53.90052554,63.97937552,34.17299657,0.907397563,1
95.98130925,103.6442094,4538.422555,30.7512179,56.03707401,21.6529754,0.752330463,1
99,86,2357,63,30.85,23,0.369,0
100,82,1720,61,15.49,29,0.318,0
95.00202528,106.3615267,5454.06159,29.19908894,58.44330239,14.01582346,0.889571067,1
100,90,1641,62,20.41,50,0.337,0
96.29499522,100.5051296,3973.491662,46.24765811,68.48046718,10.43318779,0.610650248,1
97.17650064,106.2679582,3993.563644,21.10492398,69.95964768,10.65220822,0.724082862,1
101,88,845,30,4.06,27,0.2,0
100,82,1766,45,22.67,54,0.349,0
100,84,2051,36,20.13,40,0.333,0
100,89,1872,66,16.86,40,0.31,0
95.21807987,102.8416598,4129.325926,31.5914411,56.61084854,63.49221632,0.633251805,1
100,83,1850,18,5,52,0.227,0
95.41536318,106.7269813,4475.292947,51.07125902,69.18238159,20.33397427,0.860477741,1
100,85,831,76,4.21,20,0.2,0
100,84,1997,68,23.31,75,0.345,0
100,84,1832,60,11.32,57,0.306,0
99,84,1543,21,3.43,28,0.208,0
100,83,1598,38,10.63,48,0.29,0
95.40944655,109.0071981,5390.661012,34.43437427,50.69706767,31.44470782,0.667527581,1
100,84,1812,41,3,67,0.314,0
99,82,2080,19,5.7,50,0.235,0
97.28945668,100.5745875,3530.444521,46.75946164,69.64846788,48.47519646,0.814001833,1
99,83,1872,57,11.31,59,0.298,0
100,82,2397,19,45.1,71,0.831,0
100,84,1470,54,13.69,56,0.31,0
100,84,1832,63,30.78,46,0.388,0
100,82,1439,21,3.85,47,0.212,0
95.88255402,108.394295,4342.005384,60.29553128,56.4631574,43.38153972,0.707895251,1
101,89,1382,20,12.83,50,0.302,0
96.24694131,106.5880285,4949.664493,23.33249641,52.78397005,18.70172547,0.678501917,1
100,83,1907,70,26.5,74,0.361,0
99,83,2048,36,12.68,60,0.302,0
96.50035067,104.6971994,5061.063739,59.22139367,53.07797353,55.18061881,0.640900237,1
96.91203641,103.5498283,3917.962305,52.69442421,57.60944501,52.3819772,0.757632134,1
99,83,1542,57,14.58,47,0.314,0
100,92,811,34,4.56,0,0.208,0
96.46971107,108.1430324,3965.011944,53.9606451,65.60076606,48.70142595,0.693376973,1
100,84,1214,34,3.36,27,0.196,0
100,85,2190,19,6.26,35,0.247,0
95.95524296,105.63035,5458.62139,64.29857341,62.51738425,17.41799573,0.715445525,1
101,93,1871,67,23.73,60,0.349,0
97.27607253,105.0372978,4574.069454,58.78288448,52.79381448,64.99259168,0.923290056,1
100,84,2361,20,18.92,26,0.271,0
95.70974469,102.8179061,5082.270487,38.59161074,60.0789067,62.11350964,0.917260645,1
100,96,805,59,3.77,32,0.196,0
100,84,1753,67,18.42,39,0.329,0
101,88,799,33,4.01,49,0.2,0
100,84,1275,41,7.31,48,0.259,0
101,91,2005,53,23.77,45,0.345,0
95.46968326,105.4341906,4260.85289,38.56732913,67.95548556,48.30027091,0.711132731,1
100,93,980,23,4.24,28,0.184,0
100,85,790,31,4.22,0,0.204,0
100,86,3325,85,9.03,54,0.275,0
97.4076385,102.3628653,4747.207491,68.90168715,56.41438782,50.28590575,0.610786725,1
100,90,949,27,1.99,15,0.173,0
100,93,778,34,4.12,23,0.204,0
100,87,2732,71,43.73,85,0.404,0
100,84,1765,19,4.65,61,0.224,0
96.77702878,103.8268888,5429.463616,45.03845562,60.61869846,34.59910519,0.653738237,1
101,89,1252,76,17.42,33,0.341,0
95.44757762,106.2094598,4146.319661,35.95239654,67.95059703,69.34439624,0.714707284,1
95.6387686,106.1159648,3712.226922,27.77540275,68.0750553,34.29954441,0.827207085,1
100,94,1933,58,22.42,30,0.341,0
95.01160322,102.0162369,4260.720532,50.82947857,62.3758641,46.95239144,0.860260968,1
100,85,1327,72,17.77,38,0.337,0
97.87743208,105.4710244,5179.804572,25.15518963,64.09419446,30.3426578,0.710503451,1
100,83,1885,27,15.96,40,0.314,0
100,87,1403,57,14.21,33,0.318,0
101,89,1532,28,3.95,24,0.212,0
99,94,1798,19,13.72,23,0.294,0
97.13244939,102.5804623,4194.158373,40.65736011,58.67213707,30.03444942,0.601179573,1
100,83,1500,65,22.23,49,0.353,0
100,90,890,32,4.35,44,0.216,0
97.03686988,108.3344004,3654.062493,38.36128253,57.15438632,34.70146845,0.628460423,1
100,84,2269,72,31.23,70,0.369,0
96.24783786,104.4419998,4655.137914,57.24672861,68.97577062,23.25333854,0.894074055,1
100,83,2620,20,18.48,53,0.325,0
96.22547831,102.333388,4569.465321,60.01677378,56.55497646,33.01726965,0.709717046,1
97.42022752,104.7077158,5402.638392,38.99756208,50.88419627,49.25352712,0.783512272,1
100,84,1219,38,7.67,40,0.271,0
100,83,1570,64,25.26,50,0.373,0
101,92,779,53,7.22,15,0.263,0
101,88,1627,85,7.74,52,0.263,0
97.57596478,100.1765231,4997.899321,27.75850412,64.33585178,61.02690961,0.643728304,1
100,87,2579,36,24.19,51,0.345,0
95.16461061,100.8337633,5153.847185,68.68798612,59.31319151,37.32866435,0.618535968,1
96.93473294,100.1005629,4746.551352,50.24922292,60.01257842,15.57054441,0.712363477,1
97.41069396,107.1431319,4671.471988,64.18713104,62.11825766,42.32772165,0.873365036,1
95.69375737,106.1502422,4973.184683,36.03607771,63.56971915,68.99039381,0.899567636,1
100,85,1566,42,3.81,25,0.208,0
97.09569913,106.6867483,4005.633187,55.68330125,67.76952494,43.34362388,0.681997643,1
97.8029931,101.8114076,3926.7637,45.72438764,59.68616123,61.64622168,0.765360643,1
100,86,1579,68,15.75,51,0.322,0
97.77332276,101.0050228,3695.726965,68.4846554,55.47013193,59.58422991,0.876239021,1
100,97,1299,46,6.77,47,0.306,0
100,83,791,30,20.71,0,0.2,0
100,82,1345,48,10.5,40,0.29,0
96.96278495,104.314523,5057.419468,57.94921489,50.71680207,54.21292804,0.925813207,1
96.31427276,103.9192483,4278.757708,28.23869455,58.61296694,25.09812314,0.631326932,1
96.30292707,102.9194058,5352.551277,25.92742416,60.29884243,41.54404588,0.773402921,1
99,92,1882,52,17.08,55,0.322,0
95.5495049,107.8909959,3768.151871,25.21971634,50.84994579,28.05534181,0.696736835,1
98,91,1743,20,4.72,26,0.22,0
96.291773,105.7726138,4038.596216,28.68325838,61.16207526,42.76224767,0.82574072,1
100,86,2007,90,33.35,68,0.396,0
100,84,1879,41,15.44,69,0.318,0
95.36559215,100.2797527,4286.89422,67.54163851,67.28774384,41.48180153,0.668249332,1
100,89,2124,19,15.27,14,0.278,0
97.37212481,103.7335764,3621.670288,47.33662892,55.76534219,13.48153428,0.684413026,1
